阶段,任务,负责人,优先级,状态,预计耗时,开始日期,结束日期,依赖项,渠道/形式,备注
品牌建立,确定品牌故事与核心价值主张,运营,P0,未开始,3天,,,,文档,共鸣项目定位：让每一个声音被听见
品牌建立,设计品牌视觉识别（Logo/主色/字体）,设计,P0,未开始,5天,,,确定品牌故事,Figma,输出品牌规范手册
品牌建立,注册官方社交媒体账号,运营,P0,未开始,1天,,,确定品牌故事,"微信公众号/小红书/微博/抖音",统一账号名称：共鸣Resonance
品牌建立,制作项目介绍宣传视频（1-2分钟）,运营+设计,P0,未开始,7天,,,设计品牌视觉识别,视频,包含真实用户场景演示
品牌建立,搭建官方网站/落地页,技术+设计,P1,未开始,5天,,,设计品牌视觉识别,Web,包含产品介绍/联系方式/新闻
内容营销,撰写脑瘫辅助沟通科普文章（系列）,运营,P1,未开始,持续,,,确定品牌故事,微信公众号/知乎,每周1篇；建立SEO内容矩阵
内容营销,制作用户故事短视频（患者家属视角）,运营,P0,未开始,持续,,,制作宣传视频,抖音/视频号,真实案例更有传播力
内容营销,发布产品功能教程内容,运营,P1,未开始,持续,,,品牌建立完成,小红书/B站,图文+短视频双格式
内容营销,建立微信社群（家长互助/照护者）,运营,P1,未开始,3天,,,注册社交媒体账号,微信群,初期目标100人；设立社群规则
内容营销,输出月度产品更新报告,运营,P2,未开始,持续,,,产品上线,公众号/邮件,同步给投资人和合作伙伴
用户获取,联系脑瘫康复机构合作（试点）,运营,P0,未开始,持续,,,宣传视频完成,线下拜访,目标：3-5家机构；提供免费试用
用户获取,联系特殊教育学校建立合作,运营,P0,未开始,持续,,,联系康复机构,线下拜访,覆盖学龄脑瘫儿童群体
用户获取,参加残障/辅助技术相关展会,运营,P1,未开始,持续,,,宣传视频完成,展会,准备Demo设备和宣传物料
用户获取,向残联/慈善基金会申请推广支持,运营,P1,未开始,持续,,,官方网站上线,线上申请+线下沟通,中国残联/壹基金等
用户获取,KOL合作（残障博主/康复师/家长达人）,运营,P1,未开始,持续,,,建立社群,抖音/小红书,优先选择真实有影响力的博主
媒体公关,整理项目媒体资料包（Press Kit）,运营,P0,未开始,3天,,,品牌视觉完成,文档,含品牌故事/数据/高清图/联系方式
媒体公关,向科技/社会创新媒体投稿,运营,P1,未开始,持续,,,媒体资料包完成,"36氪/虎嗅/新华社/人民日报",准备200字/500字/1000字版本稿件
媒体公关,联系央视/地方卫视报道残障辅助科技,运营,P2,未开始,持续,,,有真实用户案例,电视媒体,需要真实用户配合拍摄
媒体公关,申报社会创新/公益科技相关奖项,运营,P1,未开始,持续,,,产品上线,线上申报,"腾讯公益/阿里公益/WISE大会等"
媒体公关,整理并发布用户见证与数据报告,运营,P1,未开始,持续,,,有10+真实用户,公众号+官网,定期更新真实用户使用数据
融资与合作,准备BP（商业计划书）,运营+产品,P0,未开始,5天,,,品牌故事确定,文档,含市场规模/技术壁垒/团队/财务预测
融资与合作,参加创业大赛/黑客松,运营+技术,P0,未开始,持续,,,BP完成,线下,重点：公益科技/AI+医疗赛道
融资与合作,接触天使投资人（公益/医疗赛道）,运营,P1,未开始,持续,,,BP完成,路演/1v1,优先联系关注残障辅助技术的基金
融资与合作,申请政府/基金会公益项目资助,运营,P1,未开始,持续,,,BP完成,线上申请,民政部/残联/国家自然基金等
融资与合作,与语音AI厂商洽谈战略合作,产品+运营,P2,未开始,持续,,,产品上线,"商务BD","阶跃星辰/科大讯飞/字节火山"
产品增长,建立用户反馈收集机制,运营+产品,P1,未开始,3天,,,产品上线,问卷/社群,每月分析并输出反馈报告
产品增长,设计用户激励体系（训练打卡/勋章）,产品+运营,P2,未开始,持续,,,建立反馈机制,App内,提升用户持续训练积极性
产品增长,运营数据月度复盘（DAU/留存/转化）,运营,P1,未开始,持续,,,产品上线,数据看板,关注核心指标变化趋势
产品增长,制定付费/捐赠转化策略,运营+产品,P2,未开始,持续,,,有50+活跃用户,商业模式设计,机构付费+个人捐赠+政府采购三条线
